2018-01-02 13:52:44.3755 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:已有打开的与此 Command 相关联的 DataReader，必须首先将它关闭。 
2018-01-02 13:52:44.5146 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:已有打开的与此 Command 相关联的 DataReader，必须首先将它关闭。 
2018-01-02 13:52:44.6417 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:已有打开的与此 Command 相关联的 DataReader，必须首先将它关闭。 
2018-01-02 13:52:44.7658 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:已有打开的与此 Command 相关联的 DataReader，必须首先将它关闭。 
2018-01-02 13:52:44.8963 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:已有打开的与此 Command 相关联的 DataReader，必须首先将它关闭。 
2018-01-02 13:52:45.0393 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:已有打开的与此 Command 相关联的 DataReader，必须首先将它关闭。 
2018-01-02 13:52:45.1761 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:已有打开的与此 Command 相关联的 DataReader，必须首先将它关闭。 
2018-01-02 13:52:45.3388 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:已有打开的与此 Command 相关联的 DataReader，必须首先将它关闭。 
2018-01-02 13:52:45.4910 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:已有打开的与此 Command 相关联的 DataReader，必须首先将它关闭。 
2018-01-02 13:52:45.6496 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:已有打开的与此 Command 相关联的 DataReader，必须首先将它关闭。 
2018-01-02 13:52:45.7808 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:已有打开的与此 Command 相关联的 DataReader，必须首先将它关闭。 
2018-01-02 13:52:45.9164 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:已有打开的与此 Command 相关联的 DataReader，必须首先将它关闭。 
2018-01-02 13:52:46.0986 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:已有打开的与此 Command 相关联的 DataReader，必须首先将它关闭。 
2018-01-02 13:52:46.2259 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:已有打开的与此 Command 相关联的 DataReader，必须首先将它关闭。 
2018-01-02 13:52:46.3583 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:已有打开的与此 Command 相关联的 DataReader，必须首先将它关闭。 
2018-01-02 13:52:46.4830 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:已有打开的与此 Command 相关联的 DataReader，必须首先将它关闭。 
2018-01-02 13:52:46.6168 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:已有打开的与此 Command 相关联的 DataReader，必须首先将它关闭。 
