2018-01-06 13:14:13.6131 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:列名 'InitNoBag' 无效。 
2018-01-06 13:14:13.7438 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:列名 'InitNoBag' 无效。 
2018-01-06 13:14:13.8838 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:列名 'InitNoBag' 无效。 
2018-01-06 13:14:14.0238 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:列名 'InitNoBag' 无效。 
2018-01-06 13:14:14.1538 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:列名 'InitNoBag' 无效。 
2018-01-06 13:14:14.2838 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:列名 'InitNoBag' 无效。 
2018-01-06 13:14:14.4138 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:列名 'InitNoBag' 无效。 
2018-01-06 13:14:14.5438 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:列名 'InitNoBag' 无效。 
2018-01-06 13:14:14.6939 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:列名 'InitNoBag' 无效。 
2018-01-06 13:14:14.8239 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:列名 'InitNoBag' 无效。 
2018-01-06 13:14:14.9539 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:列名 'InitNoBag' 无效。 
2018-01-06 13:14:15.1039 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:列名 'InitNoBag' 无效。 
2018-01-06 13:14:15.2439 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:列名 'InitNoBag' 无效。 
2018-01-06 13:14:15.3839 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:列名 'InitNoBag' 无效。 
2018-01-06 13:14:15.5139 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:列名 'InitNoBag' 无效。 
2018-01-06 13:14:15.6439 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:列名 'InitNoBag' 无效。 
2018-01-06 13:14:15.7839 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:列名 'InitNoBag' 无效。 
2018-01-06 13:14:15.9139 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:列名 'InitNoBag' 无效。 
2018-01-06 13:14:16.0440 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:列名 'InitNoBag' 无效。 
2018-01-06 13:14:16.1740 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:列名 'InitNoBag' 无效。 
2018-01-06 13:14:16.3140 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:列名 'InitNoBag' 无效。 
2018-01-06 13:14:16.4640 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:列名 'InitNoBag' 无效。 
2018-01-06 13:14:16.6240 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:列名 'InitNoBag' 无效。 
2018-01-06 13:14:16.7640 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:列名 'InitNoBag' 无效。 
2018-01-06 13:14:16.9040 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:列名 'InitNoBag' 无效。 
